,verb,levin_class,stemlem
0,arrange,put,arrang
1,immerse,put,immers
2,install,put,instal
3,lodge,put,lodg
4,mount,put,mount
5,place,put,place
6,position,put,posit
7,put,put,put
8,set,put,set
9,situate,put,situat
10,sling,put,sle
11,stash,put,stash
12,stow,put,stow
13,dangle,dangle,dangl
14,hang,dangle,hang
15,lay,dangle,lie
16,lean,dangle,lean
17,perch,dangle,perch
18,rest,dangle,rest
19,sit,dangle,sit
20,stand,dangle,stand
21,suspend,dangle,suspend
22,bang,funnel,bang
23,channel,funnel,channel
24,dip,funnel,dip
25,dump,funnel,dump
26,funnel,funnel,funnel
27,hammer,funnel,hammer
28,ladle,funnel,ladl
29,pound,funnel,pound
30,push,funnel,push
31,rake,funnel,rake
32,ram,funnel,ram
33,scoop,funnel,scoop
34,scrape,funnel,scrape
35,shake,funnel,shake
36,shovel,funnel,shovel
37,siphon,funnel,siphon
38,spoon,funnel,spoon
39,squash,funnel,squash
40,squeeze,funnel,squeez
41,squish,funnel,squish
42,sweep,funnel,sweep
43,tuck,funnel,tuck
44,wad,funnel,wad
45,wedge,funnel,wedg
46,wipe,funnel,wipe
47,wring,funnel,wre
48,drop,hoist,drop
49,hoist,hoist,hoist
50,lift,hoist,lift
51,lower,hoist,low
52,raise,hoist,rais
53,dribble,pour,dribbl
54,drip,pour,drip
55,pour,pour,pour
56,slop,pour,slop
57,slosh,pour,slosh
58,spew,pour,spew
59,spill,pour,spill
60,spurt,pour,spurt
61,coil,coil,coil
62,curl,coil,curl
63,loop,coil,loop
64,roll,coil,roll
65,spin,coil,spin
66,twirl,coil,twirl
67,twist,coil,twist
68,whirl,coil,whirl
69,wind,coil,wind
70,brush,spray/load,brush
71,cram,spray/load,cram
72,crowd,spray/load,crowd
73,cultivate,spray/load,cultiv
74,dab,spray/load,dab
75,daub,spray/load,daub
76,drape,spray/load,drape
77,drizzle,spray/load,drizzl
78,dust,spray/load,dust
79,hang,spray/load,hang
80,heap,spray/load,heap
81,inject,spray/load,inject
82,jam,spray/load,jam
83,load,spray/load,load
84,mound,spray/load,mound
85,pack,spray/load,pack
86,pile,spray/load,pile
87,plant,spray/load,plant
88,plaster,spray/load,plaster
89,prick,spray/load,prick
90,pump,spray/load,pump
91,rub,spray/load,rub
92,scatter,spray/load,scatter
93,seed,spray/load,seed
94,settle,spray/load,settl
95,sew,spray/load,sew
96,shower,spray/load,shower
97,slather,spray/load,slather
98,smear,spray/load,smear
99,smudge,spray/load,smudg
100,sow,spray/load,sow
101,spatter,spray/load,spatter
102,splash,spray/load,splash
103,splatter,spray/load,splatter
104,spray,spray/load,spray
105,spread,spray/load,spread
106,sprinkle,spray/load,sprinkl
107,spritz,spray/load,spritz
108,squirt,spray/load,squirt
109,stack,spray/load,stack
110,stick,spray/load,stick
111,stock,spray/load,stock
112,strew,spray/load,strew
113,string,spray/load,string
114,stuff,spray/load,stuff
115,swab,spray/load,swab
116,vest,spray/load,vest
117,wash,spray/load,wash
118,wrap,spray/load,wrap
119,adorn,fill,adorn
120,anoint,fill,anoint
121,bandage,fill,bandag
122,bathe,fill,bath
123,bestrew,fill,bestrew
124,bind,fill,bind
125,blanket,fill,blanket
126,block,fill,block
127,blot,fill,blot
128,bombard,fill,bombard
129,carpet,fill,carpet
130,choke,fill,choke
131,cloak,fill,cloak
