Entry,verb,stemlem,Positiv,Negativ,Strong,Weak,Active,Passive,Defined,commonness
ABANDON,abandon,abandon,,Negativ,,Weak,,,|,
ABATE,abate,abat,,Negativ,,,,Passive,|,
ABDICATE,abdicate,abdic,,Negativ,,Weak,,Passive,|,
ABHOR,abhor,abhor,,Negativ,,,,Passive,|,
ABIDE,abide,abid,Positiv,,,,Active,,|,
ABOLISH,abolish,abolish,,Negativ,Strong,,Active,,|,
ABOUND,abound,abound,Positiv,,,,,Passive,|,
ABSCOND,abscond,abscond,,Negativ,,Weak,Active,,|,
ABSENT#2,absent,absent,,,,,,Passive,,
ABSOLVE,absolve,absolv,Positiv,,,,Active,,|,
ABSORB#2,absorb,absorb,,,,,,,,
ABSTAIN,abstain,abstain,,,,,,,,
ABUSE#2,abuse,abus,,Negativ,Strong,,Active,,|,
ACCEDE,accede,acced,Positiv,,,,Active,,|,
ACCELERATE,accelerate,acceler,,,Strong,,Active,,|,
ACCENTUATE,accentuate,accentu,Positiv,,,,Active,,|,
ACCEPT,accept,accept,Positiv,,,,,Passive,"| verb: To take, receive or accede to something",
ACCOMMODATE,accommodate,accommod,Positiv,,,,Active,,|,
ACCOMPANY#1,accompany,accompani,,,,,Active,,"| 59% verb-adj: To go along in company with, to escort; ""accompanying""--  attendant (no adjective occurrences this sample)",59.0
ACCOMPLISH,accomplish,accomplish,Positiv,,Strong,,Active,,| verb: To bring to its goal or conclusion,
ACCOST,accost,accost,,Negativ,,,Active,,|,
ACCOUNT#5,account,account,,,,,Active,,"| 11% verb: To explain, dispose of (usually with ""for"")",11.0
ACCRUE,accrue,accru,Positiv,,,,Active,,|,
ACCUMULATE,accumulate,accumul,,,,,Active,,|,
ACCUSE#2,accuse,accus,,Negativ,,,,,|,
ACCUSTOM#2,accustom,accustom,,,,,,Passive,|,
ACHE,ache,ach,,Negativ,,,,Passive,|,
ACHIEVE,achieve,achiev,Positiv,,Strong,,Active,,| verb: To accomplish or carry through,
ACKNOWLEDGE,acknowledge,acknowledg,,,,,,,|,
ACQUAINT,acquaint,acquaint,Positiv,,,,,,|,
ACQUIRE#2,acquire,acquir,,,Strong,,Active,,|,
ACQUIT,acquit,acquit,Positiv,,,,,,|,
ACROSS#3,across,across,,,,,,,"| 8% idiom-verb: ""Come across""--discover, encounter",8.0
ACT#1,act,act,,,Strong,,Active,,"| 52% verb: To do something, to operate, perform a function; to feign (2),  to perform in the theatre (0)",52.0
ADAPT,adapt,adapt,,,Strong,,Active,,|,
ADD#2,add,add,,,,,,,"| 87% verb: To combine with so as to increase number, size, importance, completeness",87.0
ADDRESS#1,address,address,,,,,Active,,| 41% verb: To direct spoken or written communication to,41.0
ADHERE,adhere,adher,,,,,,Passive,|,
ADJUST#1,adjust,adjust,,,Strong,,,,| 77% verb: To adapt,77.0
ADMINISTER,administer,administ,,,Strong,,Active,,|,
ADMIRE,admire,admir,Positiv,,,,,Passive,|,
ADMIT#1,admit,admit,Positiv,,,Weak,,Passive,"| 63% verb: To acknowledge, confess, agree",63.0
ADMIT#2,admit,admit,Positiv,,,,,Passive,"| 33% verb: To grant entry, membership or access to something",33.0
ADMONISH,admonish,admonish,,Negativ,Strong,,Active,,|,
ADOPT#2,adopt,adopt,,,,,Active,,"| 96% verb: To choose or accept, take as one's own child (2)",96.0
ADORE,adore,ador,Positiv,,,,Active,,|,
ADORN,adorn,adorn,Positiv,,Strong,,Active,,|,
ADULTERATE,adulterate,adulter,,Negativ,,,,,|,
ADVANCE#1,advance,advanc,Positiv,,Strong,,Active,,"| 47% verb: To move or bring forward, improve, promote",47.0
ADVISE,advise,advis,,,,,,,|,
ADVOCATE#2,advocate,advoc,,,Strong,,Active,,|,
AFFECT,affect,affect,,,,,Active,,| verb: To produce a change in,
AFFILIATE,affiliate,affili,Positiv,,,,Active,,|,
AFFIRM,affirm,affirm,Positiv,,Strong,,,,|,
AFFIX,affix,affix,Positiv,,,,Active,,|,
AFFLICT,afflict,afflict,,Negativ,Strong,,Active,,|,
AFFORD#1,afford,afford,,,Strong,,,,| 74% verb: To bear or meet the expense of,74.0
AGE#3,age,age,,,,,,,| 0% verb: To grow old,0.0
AGGRAVATE,aggravate,aggrav,,Negativ,Strong,,Active,,|,
AGGRIEVE,aggrieve,aggriev,,Negativ,,,Active,,|,
AGITATE,agitate,agit,,Negativ,Strong,,Active,,|,
AGONIZE,agonize,agon,,Negativ,,,,Passive,|,
AGREE#1,agree,agre,,,,,,,"| 96% verb: To be of one mind, harmonize in opinion or feeling, give consent, assent",96.0
AID#1,aid,aid,Positiv,,Strong,,Active,,| 16% verb: To give help,16.0
AIL,ail,ail,,Negativ,,,,Passive,|,
AIM#2,aim,aim,,,,,Active,,"| 24% verb: To direct at or to, to try for, to direct one's efforts towards;  rarely in sense of weapons (3)",24.0
AIN'T,ain't,be,,,,,,,|,
AIR#4,air,air,,,Strong,,,,"| 1% verb: To expose to air (0), to make known, publicize (1)",1.0
ALARM#2,alarm,alarm,,Negativ,,,Active,,|,
ALIENATE,alienate,alien,,Negativ,,,,,|,
ALIGN#2,align,align,,,,,,,,
ALLEDGE,alledge,alledg,,,,,,,,
ALLEGE,allege,alleg,,Negativ,,Weak,,,|,
ALLEVIATE,alleviate,allevi,Positiv,,,,Active,,|,
ALLIED,allied,alli,Positiv,,Strong,,,,|,
ALLOT,allot,allot,,,,,,,|,
ALLOW#1,allow,allow,Positiv,,,,,Passive,| 97% verb: Permit,97.0
ALLY#2,ally,alli,,,,,,,|,
ALTER,alter,alter,,,Strong,,Active,,|,
ALTERNATE#2,alternate,altern,,,,,Active,,|,
AMAZE#2,amaze,amaz,,,,,,,|,
AMBUSH#2,ambush,ambush,,Negativ,Strong,,Active,,|,
AMELIORATE,ameliorate,amelior,Positiv,,,,Active,,|,
AMEND#2,amend,amend,,,,,Active,,|,
AMOUNT#2,amount,amount,,,,,,,"| 8% verb: Add up (to)--""he won't amount to much""",8.0
AMPLIFY,amplify,amplifi,Positiv,,Strong,,Active,,|,
AMPUTATE,amputate,amput,,Negativ,,,Active,,|,
AMUSE,amuse,amus,Positiv,,,,Active,,|,
ANALYZE,analyze,analyz,,,,,Active,,|,
ANCHOR#2,anchor,anchor,,,Strong,,,,|,
ANGER#2,anger,anger,,Negativ,,,,,| 14% verb: To make angry.,14.0
ANIMATE,animate,anim,,,,,,,,
ANNIHILATE,annihilate,annihil,,Negativ,,,Active,,|,
ANNOUNCE#2,announce,announc,,,,,,,|,
ANNOY,annoy,annoy,,Negativ,,,Active,,|,
ANOINT,anoint,anoint,Positiv,,,,Active,,|,
ANSWER#1,answer,answer,,,,,Active,,"| 57% verb: To respond to a question, challenge, or statement",57.0
ANTAGONIZE,antagonize,antagon,,Negativ,Strong,,Active,,|,
ANTICIPATE,anticipate,anticip,,,,,,Passive,|,
APOLOGIZE,apologize,apolog,,,,Weak,,,|,
APPALL#2,appall,appal,,Negativ,,,,,|,
APPEAL#2,appeal,appeal,,,,,,Passive,"| 59% verb: To request a decision, help, sympathy, etc. (10), to arouse  a favorable response (9)",59.0
APPEAR#1,appear,appear,,,,,,Passive,| 64% verb: To seem,64.0
APPEASE,appease,appeas,Positiv,,,,Active,,|,
APPEND,append,append,Positiv,,,,Active,,|,
APPERTAIN,appertain,appertain,,,,,,,,
APPLAUD,applaud,applaud,Positiv,,,,Active,,|,
APPLY#1,apply,appli,,,,,Active,,"| 79% verb: To have relevance to, put to use on, use or consider in regard  to, to bring to bear (only 2 physical--i.e. ""she applied the paint"")",79.0
APPOINT#2,appoint,appoint,Positiv,,,,Active,,|,
APPRAISE,appraise,apprais,,,,,,,,
APPRECIATE,appreciate,appreci,Positiv,,,,,Passive,"| verb: To be aware of, to be grateful",
APPREHEND,apprehend,apprehend,Positiv,,,,Active,,|,
APPROACH#1,approach,approach,Positiv,,,,Active,,"| 66% verb: To come near or nearer to, or to set about a task",66.0
APPROPRIATE#2,appropriate,appropri,,,Strong,,,,|,
APPROVE#2,approve,approv,Positiv,,Strong,,,,|,
ARBITRATE,arbitrate,arbitr,Positiv,,,,Active,,|,
ARCH#2,arch,arch,,,,,,,|,
ARGUE#1,argue,argu,,Negativ,,,Active,,"| 44% verb: To dispute, to contend in argument--'they argue a lot' (sense  of animosity)",44.0
ARGUE#2,argue,argu,,,,,Active,,"| 56% verb: To present reasons for, to maintain in reasoning--'to argue  that,' or 'to argue for'--(sense of reasoning)",56.0
ARISE,arise,aris,,,Strong,,Active,,|,
ARM#3,arm,arm,,,Strong,,Active,,| 1% verb: To equip with weapons,1.0
ARMED#2,armed,arm,,,Strong,,Active,,| 0% verb: To equip with weapons (past tense),0.0
AROSE,arose,aris,,,Strong,,Active,,|,
ARRANGE#1,arrange,arrang,,,,,Active,,"| 59% verb: To come to an agreement concerning, to prepare or plan--'we  arranged to meet them.'",59.0
ARREST#2,arrest,arrest,,Negativ,Strong,,Active,,"| 81% verb: To halt, stop, seize by legal authority",81.0
ARRIVE,arrive,arriv,,,,,Active,,"| verb: To reach one's destination, to reach a conclusion, goal, etc. (5);  to come to pass (""the time has arrived"") (3)",
ART#3,art,art,,,,,,,| 7% verb: Archaic for are 'thou art',7.0
ASCEND,ascend,ascend,,,Strong,,Active,,|,
ASCERTAIN,ascertain,ascertain,,,,,Active,,|,
ASCRIBE,ascribe,ascrib,Positiv,,,,Active,,|,
ASK#1,ask,ask,,,,,Active,,| 65% verb: To inquire about,65.0
ASPIRE,aspire,aspir,Positiv,,,,Active,,|,
ASSAIL,assail,assail,,Negativ,Strong,,Active,,|,
ASSASSINATE,assassinate,assassin,,Negativ,,,Active,,|,
ASSAULT#2,assault,assault,,Negativ,Strong,,Active,,|,
ASSEMBLE,assemble,assembl,,,,,Active,,|,
ASSERT,assert,assert,,,Strong,,Active,,|,
ASSESS,assess,assess,,,,,,,,
ASSIGN#2,assign,assign,,,,,Active,,|,
ASSIMILATE,assimilate,assimil,,,,,,Passive,|,
