model,sampler,seed,bs,lr,model_loc,fold,epoch,set_type,loss,fn,fp,tn,tp,acc,prec,rec,f1,voter
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f1_v0,1,,dev,,83,45,625,35,0.8375634517766497,0.4375,0.2966101694915254,0.3535353535353535,0.0
rob_base,sequential,11,16,1e-05,,1,,test,,72,58,613,54,0.8368883312421581,0.48214285714285715,0.42857142857142855,0.45378151260504196,0.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f1_v1,1,,dev,,71,62,610,66,0.8355995055624228,0.515625,0.48175182481751827,0.4981132075471698,1.0
rob_base,sequential,11,16,1e-05,,1,,test,,67,85,586,59,0.8092848180677541,0.4097222222222222,0.46825396825396826,0.437037037037037,1.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f1_v2,1,,dev,,72,50,652,59,0.8535414165666266,0.5412844036697247,0.45038167938931295,0.49166666666666664,2.0
rob_base,sequential,11,16,1e-05,,1,,test,,61,66,605,65,0.8406524466750314,0.4961832061068702,0.5158730158730159,0.5058365758754864,2.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f1_v3,1,,dev,,61,49,626,44,0.8589743589743589,0.4731182795698925,0.41904761904761906,0.4444444444444444,3.0
rob_base,sequential,11,16,1e-05,,1,,test,,73,69,602,53,0.821831869510665,0.4344262295081967,0.42063492063492064,0.4274193548387097,3.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f1_v4,1,,dev,,89,35,614,43,0.8412291933418694,0.5512820512820513,0.32575757575757575,0.4095238095238095,4.0
rob_base,sequential,11,16,1e-05,,1,,test,,68,61,610,58,0.8381430363864492,0.48739495798319327,0.4603174603174603,0.473469387755102,4.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f1_v5,1,,dev,0.32806034192405453,70,78,609,59,0.8186274509803921,0.4306569343065693,0.4573643410852713,0.44360902255639095,5.0
rob_base,sequential,11,16,1e-05,,1,,test,,64,85,586,62,0.8130489335006273,0.4217687074829932,0.49206349206349204,0.45421245421245415,5.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f1_v6,1,,dev,0.28045446874573826,71,38,645,34,0.8616751269035533,0.4722222222222222,0.3238095238095238,0.38418079096045193,6.0
rob_base,sequential,11,16,1e-05,,1,,test,,77,43,628,49,0.849435382685069,0.532608695652174,0.3888888888888889,0.4495412844036697,6.0
rob_base,sequential,11,16,1e-05,,1,,test,,68,54,617,58,0.8469259723964868,0.5178571428571429,0.4603174603174603,0.48739495798319327,maj_vote
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f2_v0,2,,dev,,70,72,600,67,0.8244746600741656,0.48201438848920863,0.48905109489051096,0.4855072463768116,0.0
rob_base,sequential,11,16,1e-05,,2,,test,,85,62,608,33,0.8134517766497462,0.3473684210526316,0.2796610169491525,0.3098591549295775,0.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f2_v1,2,,dev,,78,57,645,53,0.8379351740696278,0.4818181818181818,0.40458015267175573,0.43983402489626555,1.0
rob_base,sequential,11,16,1e-05,,2,,test,,87,55,615,31,0.8197969543147208,0.36046511627906974,0.2627118644067797,0.303921568627451,1.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f2_v2,2,,dev,,56,58,617,49,0.8538461538461538,0.45794392523364486,0.4666666666666667,0.4622641509433962,2.0
rob_base,sequential,11,16,1e-05,,2,,test,,89,56,614,29,0.815989847715736,0.3411764705882353,0.2457627118644068,0.28571428571428575,2.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f2_v3,2,,dev,0.206632686611683,88,56,593,44,0.8156209987195903,0.44,0.3333333333333333,0.37931034482758624,3.0
rob_base,sequential,11,16,1e-05,,2,,test,,85,58,612,33,0.8185279187817259,0.3626373626373626,0.2796610169491525,0.3157894736842105,3.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f2_v4,2,,dev,0.24071772037106648,80,54,633,49,0.8357843137254902,0.47572815533980584,0.3798449612403101,0.4224137931034483,4.0
rob_base,sequential,11,16,1e-05,,2,,test,,92,47,623,26,0.8236040609137056,0.3561643835616438,0.22033898305084745,0.27225130890052357,4.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f2_v5,2,,dev,0.21197124428471129,64,54,629,41,0.850253807106599,0.43157894736842106,0.3904761904761905,0.41000000000000003,5.0
rob_base,sequential,11,16,1e-05,,2,,test,,85,55,615,33,0.8223350253807107,0.375,0.2796610169491525,0.32038834951456313,5.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f2_v6,2,,dev,0.26724510110914707,85,27,656,36,0.8606965174129353,0.5714285714285714,0.2975206611570248,0.391304347826087,6.0
rob_base,sequential,11,16,1e-05,,2,,test,,91,34,636,27,0.8413705583756346,0.4426229508196721,0.2288135593220339,0.3016759776536313,6.0
rob_base,sequential,11,16,1e-05,,2,,test,,87,50,620,31,0.8261421319796954,0.38271604938271603,0.2627118644067797,0.31155778894472363,maj_vote
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f3_v0,3,,dev,,82,34,668,49,0.8607442977190877,0.5903614457831325,0.37404580152671757,0.45794392523364486,0.0
rob_base,sequential,11,16,1e-05,,3,,test,,72,54,618,65,0.8442521631644005,0.5462184873949579,0.4744525547445255,0.5078124999999999,0.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f3_v1,3,,dev,,61,52,623,44,0.8551282051282051,0.4583333333333333,0.41904761904761906,0.4378109452736318,1.0
rob_base,sequential,11,16,1e-05,,3,,test,,75,61,611,62,0.8318912237330037,0.5040650406504065,0.45255474452554745,0.4769230769230769,1.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f3_v2,3,,dev,,92,51,598,40,0.8169014084507042,0.43956043956043955,0.30303030303030304,0.3587443946188341,2.0
rob_base,sequential,11,16,1e-05,,3,,test,,77,60,612,60,0.830655129789864,0.5,0.43795620437956206,0.4669260700389105,2.0
rob_base,sequential,11,16,1e-05,models/checkpoints/Rob_majvote/rob_base_sequential_11_bs16_lr1e-05_f3_v3,3,,dev,0.21443309831041232,82,49,638,47,0.8394607843137255,0.4895833333333333,0.3643410852713178,0.4177777777777778,3.0
