model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_ffan_ep10,fan,,dev,0.016264417187694523,0.9453668564199873,0.14678423236514523,0.20185449358059915,0.16996996996996996,1119,1645,47545,283
bert,281,16,2e-05,,fan,,test,,0.9316312679655062,0.12219959266802444,0.3002502085070892,0.17370325693606753,839,2586,46311,360
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f1_ep4,1,,dev,0.08913169482210767,0.9179867511520737,0.08749306711037161,0.31191300049431536,0.13665403356794803,1392,6581,88612,631
bert,281,16,2e-05,,1,,test,,0.9289998378991733,0.12433907555858775,0.28006146753745675,0.17221828490432317,1874,5134,90967,729
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f2_ep3,2,,dev,0.13545687011452415,0.9098922029502351,0.09449529457264406,0.2815981559738763,0.1415057915057915,1870,7024,89077,733
bert,281,16,2e-05,,2,,test,,0.8822936432637571,0.08891572981510731,0.31264292714799086,0.1384548611111111,2104,9806,88317,957
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f3_ep2,3,,dev,0.22978540540283038,0.896100173940544,0.12340812613705276,0.3988892518784711,0.18849864917020456,1840,8673,89450,1221
bert,281,16,2e-05,,3,,test,,0.9236925708699902,0.11042850560589772,0.2969847170590665,0.16099417823555756,1702,5792,89995,719
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f4_ep2,4,,dev,0.2400329941419183,0.9515925382860867,0.12838483593501115,0.1664601404378356,0.1449640287769784,2018,2736,93051,403
bert,281,16,2e-05,,4,,test,,0.9548511645285839,0.15393175074183976,0.16706924315619967,0.16023166023166022,2069,2281,91583,415
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f5_ep9,5,,dev,0.02013515268881747,0.9492776186324573,0.15759475634083783,0.22262479871175522,0.18454864008009342,1931,2956,90908,553
bert,281,16,2e-05,,5,,test,,0.9480704531961212,0.11523386464593677,0.19148936170212766,0.1438825448613377,1862,3386,95371,441
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f6_ep8,6,,dev,0.022062500251951934,0.941044923807639,0.11207811504988326,0.22926617455492834,0.15055603079555174,1775,4183,94574,528
bert,281,16,2e-05,,6,,test,,0.9458958999473833,0.10090865614538498,0.21005475360876058,0.1363269261831691,1587,3760,93059,422
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f7_ep2,7,,dev,0.24540324254659937,0.9715060509167442,0.17485898468976632,0.10801393728222997,0.13353846153846152,1792,1024,95795,217
bert,281,16,2e-05,,7,,test,,0.9594732543895468,0.1564587973273942,0.1027046783625731,0.12400706090026477,2455,1515,93709,281
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f8_ep6,8,,dev,0.03516180677906959,0.9270518579011842,0.08521444695259593,0.16557017543859648,0.11251862891207151,2283,4863,90361,453
bert,281,16,2e-05,,8,,test,,0.9223638353055601,0.0671400903808909,0.1809482383645063,0.09793996468510889,1883,5780,90625,416
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f9_ep3,9,,dev,0.16068378999716973,0.9480162911330848,0.12037533512064343,0.19530230535015225,0.14894675733952562,1850,3281,93124,449
bert,281,16,2e-05,,9,,test,,0.9493045459903343,0.11006954944058059,0.1409759876065066,0.12362030905077262,2218,2943,96279,364
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f10_ep3,10,,dev,0.1558386961267771,0.9359750108050764,0.10905840286054827,0.2126258714175058,0.1441701680672269,2033,4485,94737,549
bert,281,16,2e-05,,10,,test,,0.9308961487820935,0.08721645858976614,0.24518042511122096,0.12866407263294424,1527,5191,90002,496
