model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_ffan,fan,,dev,1.765307763232244,0.8698608475648324,0.056790968183373244,0.23680456490727533,0.09161147902869757,1070,5514,43676,332
bert,23,16,3e-05,,fan,,test,,0.880509421909933,0.05993748850891708,0.2718932443703086,0.09822235613136489,873,5113,43784,326
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f1,1,,dev,1.3597009812209968,0.4181821922317314,0.023135437614759113,0.6539792387543253,0.04468990676935549,700,55862,39331,1323
bert,23,16,3e-05,,1,,test,,0.3912506078781002,0.02795342191272357,0.653860929696504,0.053614742479130575,901,59185,36916,1702
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f2,2,,dev,1.3656813966899288,0.5629559085751338,0.04365838830972913,0.7449097195543604,0.08248255912880721,664,42474,53627,1939
bert,23,16,3e-05,,2,,test,,0.6271940227703985,0.05472624033298219,0.6958510290754656,0.10147205945405174,931,36791,61332,2130
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f3,3,,dev,1.4581098039646196,0.7932578273244781,0.05555002488800398,0.36458673636066646,0.09641052222366203,1945,18974,79149,1116
bert,23,16,3e-05,,3,,test,,0.7925118116650375,0.043615290768605125,0.3543990086741016,0.07767166070701127,1563,18814,76973,858
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f4,4,,dev,1.4910760386626323,0.44397605083088953,0.013970382788488405,0.3097893432465923,0.02673510854454069,1671,52935,42852,750
bert,23,16,3e-05,,4,,test,,0.4265890314277411,0.015642499127912313,0.34299516908212563,0.02992045793752524,1632,53615,40249,852
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f5,5,,dev,1.4418679338693619,0.7827666376053473,0.036765444500251133,0.2946859903381642,0.06537465392515852,1752,19178,74686,732
bert,23,16,3e-05,,5,,test,,0.7823570156342766,0.03424787133396405,0.31437255753365173,0.06176683871518151,1579,20416,78341,724
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f6,6,,dev,1.416907098359034,0.7943399960419553,0.03039081160746049,0.2596613113330439,0.054413102820746136,1705,19079,79678,598
bert,23,16,3e-05,,6,,test,,0.7859715869996358,0.022356405010230052,0.2229965156794425,0.04063860667634253,1561,19591,77228,448
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f7,7,,dev,1.6314342486858369,0.03783340753632574,0.020067648393350658,0.9686411149825784,0.03932067770582233,63,95026,1793,1946
bert,23,16,3e-05,,7,,test,,0.044926500612494896,0.027431187886986837,0.9634502923976608,0.05334358652649473,100,93459,1765,2636
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f8,8,,dev,1.3574124750494958,0.20120457329522254,0.028944282256655938,0.847953216374269,0.05597780190614067,416,77834,17390,2320
bert,23,16,3e-05,,8,,test,,0.1807120278813422,0.023841846258272528,0.8555893866898652,0.04639096237072676,332,80535,15870,1967
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f9,9,,dev,1.6185659379815336,0.14007537688442212,0.020764418445396195,0.7781644193127447,0.04044948901148594,510,84368,12037,1789
bert,23,16,3e-05,,9,,test,,0.1434914148756434,0.022548245119061054,0.7738187451587917,0.04381963330116677,584,86612,12610,1998
bert,23,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs16_lr3e-05_f10,10,,dev,1.640492412380706,0.9354052885937684,0.046548592188919165,0.07939581719597212,0.05868880618379616,2377,4199,95023,205
bert,23,16,3e-05,,10,,test,,0.940853357472021,0.04780393108468818,0.09738012852199704,0.06412760416666666,1826,3924,91269,197
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_ffan,fan,,dev,1.286393702632249,0.7754388045540797,0.030280162248844448,0.2289586305278174,0.053486628342914275,1081,10280,38910,321
bert,23,24,3e-05,,fan,,test,,0.7690035132545513,0.028885457353074757,0.2652210175145955,0.05209698558322412,881,10691,38206,318
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f1,1,,dev,1.363531334569838,0.42571181698485844,0.024092975535546866,0.6732575383094415,0.04652115995491341,661,55169,40024,1362
bert,23,24,3e-05,,1,,test,,0.4414208137461501,0.031483562547938854,0.6780637725701114,0.06017318969044048,838,54296,41805,1765
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f2,2,,dev,1.2524965472687455,0.16291133084778733,0.022416653735512132,0.7214752208989628,0.04348228756656633,725,81899,14202,1878
bert,23,24,3e-05,,2,,test,,0.1659748576850095,0.026656112863611497,0.7481215289121202,0.051478026301000346,771,83619,14504,2290
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f3,3,,dev,1.432910718864068,0.7522730866540165,0.0631328171530673,0.519438092126756,0.11258231253982864,1471,23595,74528,1590
bert,23,24,3e-05,,3,,test,,0.7479635060280222,0.0511356783919598,0.5254027261462205,0.09320046893317704,1149,23603,72184,1272
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f4,4,,dev,1.4812540647698873,0.15329708374063214,0.02135556240662129,0.7439074762494837,0.041519220794190535,620,82533,13254,1801
bert,23,24,3e-05,,4,,test,,0.1443724830821605,0.02238895127953932,0.7544283413848631,0.04348734133153876,610,81828,12036,1874
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f5,5,,dev,1.345838098043806,0.6402208660273176,0.036043829296424454,0.5032206119162641,0.06726940049510279,1234,33430,60434,1250
bert,23,24,3e-05,,5,,test,,0.634474569562636,0.03456153081243785,0.5584020842379505,0.06509414861307958,1017,35923,62834,1286
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f6,6,,dev,1.5955686354099359,0.11510983574114388,0.019681566586543763,0.7750759878419453,0.03838833510758412,518,88909,9848,1785
bert,23,24,3e-05,,6,,test,,0.1148156392925082,0.016462628136950964,0.7242409158785466,0.03219347058888607,554,86927,9892,1455
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f7,7,,dev,1.5063247314553136,0.0466972922653499,0.019450466977985324,0.9288203086112494,0.03810301699933637,143,94070,2749,1866
bert,23,24,3e-05,,7,,test,,0.054961208656594526,0.026829165525522995,0.930921052631579,0.0521552165455104,189,92387,2837,2547
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f8,8,,dev,1.6805972209137476,0.6100449162923642,0.03363841986218505,0.46747076023391815,0.062760685018892,1457,36743,58481,1279
bert,23,24,3e-05,,8,,test,,0.6144837088669152,0.03213902483708027,0.5341452805567638,0.06062999901254072,1071,36981,59424,1228
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f9,9,,dev,1.3758090738963364,0.7794314313502999,0.035983223715565726,0.3284036537625054,0.0648597568832954,1544,20227,76178,755
bert,23,24,3e-05,,9,,test,,0.7790754783702015,0.03210340775558167,0.26452362509682414,0.05725782789118497,1899,20592,78630,683
bert,23,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_23_bs24_lr3e-05_f10,10,,dev,1.7627638573933364,0.06053789634984873,0.025398055875722927,0.9643687064291248,0.049492650639528527,92,95549,3673,2490
bert,23,24,3e-05,,10,,test,,0.05413717906517446,0.020853757299347853,0.967375185368265,0.04082739628860818,66,91887,3306,1957
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_ffan,fan,,dev,1.3748630843889553,0.4877846299810247,0.03377967133292757,0.6333808844507846,0.06413867822318527,514,25400,23790,888
bert,49,16,3e-05,,fan,,test,,0.4815753752794634,0.029657477025898077,0.6513761467889908,0.05673192169396724,418,25553,23344,781
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f1,1,,dev,1.3546670196656871,0.35053900592495063,0.022740406391053774,0.7197231833910035,0.04408781226343679,567,62571,32622,1456
bert,49,16,3e-05,,1,,test,,0.3829935970173448,0.029004007238883144,0.6895889358432578,0.05566668217270626,808,60093,36008,1795
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f2,2,,dev,1.392707880278279,0.356753525692981,0.030185185185185186,0.7514406454091433,0.058038959690221506,647,62844,33257,1956
bert,49,16,3e-05,,2,,test,,0.3031012808349146,0.03115269128113879,0.7321136883371447,0.05976239049561982,820,69695,28428,2241
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f3,3,,dev,1.4741747134311456,0.06782692915876028,0.028713075810782897,0.9081999346618752,0.055666242828966477,281,94040,4083,2780
bert,49,16,3e-05,,3,,test,,0.07082926034538937,0.02327004196764949,0.8954977282114829,0.045361342427919824,253,90999,4788,2168
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f4,4,,dev,1.165763182830335,0.6949128380579993,0.02137569079976365,0.2540272614622057,0.03943318799692229,1806,28156,67631,615
bert,49,16,3e-05,,4,,test,,0.6977622784074397,0.0203831748775569,0.2278582930756844,0.03741901361893428,1918,27202,66662,566
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f5,5,,dev,1.455980030298233,0.26876530908788976,0.02083891434614029,0.5950080515297906,0.04026754212698716,1006,69447,24417,1478
bert,49,16,3e-05,,5,,test,,0.266148822481694,0.018248370920597463,0.5909683022145028,0.03540352474474865,942,73221,25536,1361
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f6,6,,dev,1.2183736123536761,0.9258262418365327,0.06236305410416316,0.16066000868432478,0.08984944147644489,1933,5563,93194,370
bert,49,16,3e-05,,6,,test,,0.9357064799449548,0.05233875953018751,0.12643106022896963,0.07403089478286214,1755,4599,92220,254
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f7,7,,dev,1.1984355953335761,0.9136884283806209,0.05427204374572796,0.19761075161772026,0.08515658515658517,1612,6918,89901,397
bert,49,16,3e-05,,7,,test,,0.8959677419354839,0.0738538927632331,0.2361111111111111,0.11251415135417572,2090,8101,87123,646
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f8,8,,dev,1.3184822517633439,0.15022458146182116,0.023790370282739854,0.735014619883041,0.04608896935805468,725,82519,12705,2011
bert,49,16,3e-05,,8,,test,,0.1455665423893662,0.018771190914743597,0.6959547629404089,0.03655638822884299,699,83637,12768,1600
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f9,9,,dev,1.3600428526725001,0.8522754903550008,0.05679849884526559,0.3423227490213136,0.0974311358712473,1512,13069,83336,787
bert,49,16,3e-05,,9,,test,,0.8645141644729087,0.06271940088930494,0.31138652207591017,0.10440880462307643,1778,12015,87207,804
bert,49,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_49_bs16_lr3e-05_f10,10,,dev,1.3691601550071162,0.07316019016934501,0.024023401033130717,0.8969790859798605,0.04679355073342223,266,94090,5132,2316
bert,49,16,3e-05,,10,,test,,0.06875411454904543,0.019761044372822868,0.9001482946119624,0.0386730944846773,202,90330,4863,1821
