model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_ffan_ep3,fan,,dev,0.1403933662077669,0.9559416508538899,0.16189697465249386,0.14122681883024252,0.15085714285714286,1204,1025,48165,198
bert,281,24,3e-05,,fan,,test,,0.9620728201852443,0.1745589600742804,0.15679733110925773,0.16520210896309315,1011,889,48008,188
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f1_ep2,1,,dev,0.2503545654986458,0.954534233048058,0.13404580152671755,0.21700444883835887,0.16572291430728575,1584,2836,92357,439
bert,281,24,3e-05,,1,,test,,0.9576916842275895,0.1827349737797499,0.17402996542451019,0.17827626918536008,2150,2026,94075,453
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f2_ep3,2,,dev,0.14319462690124274,0.896610066461339,0.0978628861616589,0.35535920092201306,0.1534632932393198,1678,8527,87574,925
bert,281,24,3e-05,,2,,test,,0.8782119702719797,0.09660278745644599,0.3622999019928128,0.15253421360291586,1952,10371,87752,1109
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f3_ep2,3,,dev,0.24507411670892087,0.8535341555977229,0.08996443266615524,0.4214309049330284,0.1482758620689655,1771,13049,85074,1290
bert,281,24,3e-05,,3,,test,,0.8904264418377321,0.07955232909860858,0.32589838909541513,0.12788718696814974,1632,9129,86658,789
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f4_ep1,4,,dev,0.3292965930539058,0.9656545291625936,0.2170035671819263,0.15076414704667493,0.17791859614915917,2056,1317,94470,365
bert,281,24,3e-05,,4,,test,,0.9668908539876282,0.3098060344827586,0.23148148148148148,0.26497695852534564,1909,1281,92583,575
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f5_ep3,5,,dev,0.16875285572243318,0.9644413999252709,0.22743055555555555,0.15821256038647344,0.18660968660968663,2091,1335,92529,393
bert,281,24,3e-05,,5,,test,,0.9662378784880269,0.17817759721416135,0.13330438558402083,0.15250869349230003,1996,1416,97341,307
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f6_ep4,6,,dev,0.09497381621688128,0.9259054027310508,0.08672086720867209,0.23621363438992618,0.12686567164179105,1759,5729,93028,544
bert,281,24,3e-05,,6,,test,,0.9269437811146639,0.06769537083125933,0.203086112493778,0.101543056246889,1601,5619,91200,408
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f7_ep4,7,,dev,0.09493665874077614,0.9671145829117255,0.11815384615384615,0.09556993529118965,0.10566868464501927,1817,1433,95386,192
bert,281,24,3e-05,,7,,test,,0.9579726418946509,0.14388860237235687,0.10197368421052631,0.11935828877005347,2457,1660,93564,279
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f8_ep3,8,,dev,0.15328451352759023,0.956420988158432,0.08137629710540688,0.05445906432748538,0.06525071162688854,2587,1682,93542,149
bert,281,24,3e-05,,8,,test,,0.9564050089155455,0.1104199066874028,0.12353197042192257,0.11660849928146172,2015,2288,94117,284
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f9_ep4,9,,dev,0.09704917885146026,0.9187266980061598,0.0701517199939913,0.20313179643323184,0.10428762840553818,1832,6190,90215,467
bert,281,24,3e-05,,9,,test,,0.9406211936662606,0.1402451693330563,0.261425251742835,0.18255578093306285,1907,4138,95084,675
bert,281,24,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr3e-05_f10_ep2,10,,dev,0.2524402611293739,0.9601882047856666,0.169438202247191,0.14601084430673897,0.15685458706053673,2205,1848,97374,377
bert,281,24,3e-05,,10,,test,,0.9565915075707703,0.10499820208558072,0.14434008897676717,0.12156536219816819,1731,2489,92704,292
