model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_ffan_ep2,fan,,dev,,0.9438053447185326,0.12018977332630469,0.16262482168330955,0.13822370415277357,1174,1669,47521,228
bert,132,16,2e-05,,fan,,test,,0.94600367294794,0.13339824732229796,0.2285237698081735,0.16845988318475255,925,1780,47117,274
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f1_ep2,1,,dev,,0.9596157011191574,0.14456481135599553,0.19130004943153733,0.1646808510638298,1636,2290,92903,387
bert,132,16,2e-05,,1,,test,,0.960903306856865,0.19094488188976377,0.14905877833269304,0.1674217907227616,2215,1644,94457,388
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f2_ep3,2,,dev,,0.9118779380774842,0.09747721569145423,0.2835190165194007,0.14507568311381955,1865,6833,89268,738
bert,132,16,2e-05,,2,,test,,0.8916824794433903,0.09653692920625191,0.30872263966024177,0.14708171206225681,2116,8844,89279,945
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f3_ep2,3,,dev,,0.8838255060088551,0.11462765957446809,0.4224109768049657,0.18032215326685727,1768,9987,88136,1293
bert,132,16,2e-05,,3,,test,,0.9165139296187683,0.1022852422907489,0.30689797604295743,0.1534331440371709,1678,6521,89266,743
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f4_ep1,4,,dev,,0.9539956011730205,0.14227226202661208,0.17224287484510534,0.1558295964125561,2004,2514,93273,417
bert,132,16,2e-05,,4,,test,,0.9564702951799726,0.19572953736654805,0.2214170692431562,0.20778239516433697,1934,2260,91604,550
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f5_ep4,5,,dev,,0.9322559887076016,0.13425004523249504,0.29871175523349436,0.18524528772937213,1742,4785,89079,742
bert,132,16,2e-05,,5,,test,,0.9452503463289135,0.13144682793245094,0.25010855405992183,0.17232610321615555,1727,3806,94951,576
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f6_ep3,6,,dev,,0.9540866811794974,0.12655800575263662,0.17194963091619628,0.14580265095729014,1907,2733,96024,396
bert,132,16,2e-05,,6,,test,,0.9601631116687579,0.10844841592201462,0.1329019412643106,0.11943636770297474,1742,2195,94624,267
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f7_ep2,7,,dev,,0.9693204355041082,0.16370808678500987,0.12394225983076157,0.14107648725212465,1760,1272,95547,249
bert,132,16,2e-05,,7,,test,,0.9559003674969375,0.1511013215859031,0.1253654970760234,0.13703555733120257,2393,1927,93297,343
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f8_ep4,8,,dev,,0.9568905675786035,0.14912694667295895,0.1154970760233918,0.1301750772399588,2420,1803,93421,316
bert,132,16,2e-05,,8,,test,,0.9502046522937267,0.0952970297029703,0.1339712918660287,0.11137226541312602,1991,2924,93481,308
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f9_ep3,9,,dev,,0.9486646944399416,0.08711217183770883,0.12701174423662462,0.10334454078924085,2007,3060,93345,292
bert,132,16,2e-05,,9,,test,,0.9562296176967506,0.14880059970014992,0.15375677769171184,0.15123809523809525,2185,2271,96951,397
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f10_ep3,10,,dev,,0.9270755569525755,0.11957888120678818,0.29473276529821846,0.17013190252626875,1821,5603,93619,761
bert,132,16,2e-05,,10,,test,,0.9148185483870968,0.07358953393295176,0.2669303015323777,0.11537228928533277,1483,6798,88395,540
