model,input,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp,h
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f1_ep96,1,96,dev,5.286142873764038,0.8418367346938775,0.40875912408759124,0.5656565656565656,0.47457627118644063,43,81,604,56,1200
cam+,c,34,32,0.001,,1,,test,6.343117752075195,0.8329145728643216,0.49137931034482757,0.4351145038167939,0.46153846153846156,74,59,606,57,1200
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f2_ep96,2,96,dev,7.404647779464722,0.842964824120603,0.5576923076923077,0.22137404580152673,0.31693989071038253,102,23,642,29,1200
cam+,c,34,32,0.001,,2,,test,7.626545218320993,0.8296568627450981,0.5666666666666667,0.33774834437086093,0.42323651452282157,100,39,626,51,1200
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f3_ep48,3,48,dev,7.8336732891889715,0.7916666666666666,0.44919786096256686,0.5562913907284768,0.4970414201183432,67,103,562,84,1200
cam+,c,34,32,0.001,,3,,test,6.457147169113159,0.8143939393939394,0.42483660130718953,0.5241935483870968,0.4693140794223826,59,88,580,65,1200
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f4_ep72,4,72,dev,11.676163244247437,0.8383838383838383,0.4838709677419355,0.4838709677419355,0.4838709677419355,64,64,604,60,1200
cam+,c,34,32,0.001,,4,,test,13.562952136993408,0.8172458172458172,0.45614035087719296,0.3939393939393939,0.4227642276422764,80,62,583,52,1200
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f5_ep86,5,86,dev,13.422644493579865,0.8223938223938224,0.47794117647058826,0.49242424242424243,0.4850746268656716,67,71,574,65,1200
cam+,c,34,32,0.001,,5,,test,10.504911395219656,0.8282208588957055,0.35772357723577236,0.41904761904761906,0.3859649122807018,61,79,631,44,1200
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f6_ep2,6,2,dev,5.45158616396097,0.8233128834355828,0.33884297520661155,0.3904761904761905,0.36283185840707965,64,80,630,41,1200
cam+,c,34,32,0.001,,6,,test,5.750104694366455,0.8255959849435383,0.38317757009345793,0.35964912280701755,0.37104072398190047,73,66,617,41,1200
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f7_ep78,7,78,dev,10.557546815872193,0.8368883312421581,0.43103448275862066,0.43859649122807015,0.43478260869565216,64,66,617,50,1200
cam+,c,34,32,0.001,,7,,test,13.210623912811279,0.7962025316455696,0.3984375,0.37777777777777777,0.38783269961977185,84,77,578,51,1200
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f8_ep32,8,32,dev,7.823010988235474,0.7886075949367088,0.39473684210526316,0.4444444444444444,0.4181184668989547,75,92,563,60,1200
cam+,c,34,32,0.001,,8,,test,7.0322238540649415,0.7776381909547738,0.2981366459627329,0.42857142857142855,0.3516483516483517,64,113,571,48,1200
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f9_ep92,9,92,dev,6.09760398387909,0.7964824120603015,0.3355263157894737,0.45535714285714285,0.3863636363636364,61,101,583,51,1200
cam+,c,34,32,0.001,,9,,test,5.438280972150656,0.8294762484774665,0.4140625,0.4491525423728814,0.43089430894308944,65,75,628,53,1200
cam+,c,34,32,0.001,cam+_crossbert_34_h1200_bs32_lr0.001_f10_ep91,10,91,dev,6.002159022367918,0.856272838002436,0.5,0.4406779661016949,0.4684684684684685,66,52,651,52,1200
cam+,c,34,32,0.001,,10,,test,5.755730168819428,0.8545918367346939,0.43119266055045874,0.47474747474747475,0.4519230769230769,52,62,623,47,1200
cam,c,34,32,0.001,cam_crossbert_34_h600_bs32_lr0.001_f1_ep41,1,41,dev,7.567760193347931,0.8482142857142857,0.42063492063492064,0.5353535353535354,0.47111111111111115,46,73,612,53,600
cam,c,34,32,0.001,,1,,test,9.89427668094635,0.8379396984924623,0.51,0.3893129770992366,0.44155844155844154,80,49,616,51,600
cam,c,34,32,0.001,cam_crossbert_34_h600_bs32_lr0.001_f2_ep11,2,11,dev,6.737909865379334,0.7826633165829145,0.38202247191011235,0.5190839694656488,0.4401294498381877,63,110,555,68,600
cam,c,34,32,0.001,,2,,test,7.473109781742096,0.7647058823529411,0.4,0.543046357615894,0.4606741573033708,69,123,542,82,600
cam,c,34,32,0.001,cam_crossbert_34_h600_bs32_lr0.001_f3_ep5,3,5,dev,9.015575481721989,0.8161764705882353,0.5035971223021583,0.46357615894039733,0.4827586206896552,81,69,596,70,600
cam,c,34,32,0.001,,3,,test,7.3542380094528195,0.8345959595959596,0.4672897196261682,0.4032258064516129,0.4329004329004329,74,57,611,50,600
cam,c,34,32,0.001,cam_crossbert_34_h600_bs32_lr0.001_f4_ep1,4,1,dev,8.373014092445374,0.8181818181818182,0.4305555555555556,0.5,0.4626865671641791,62,82,586,62,600
cam,c,34,32,0.001,,4,,test,10.507556486129761,0.8146718146718147,0.4552238805970149,0.4621212121212121,0.45864661654135336,71,73,572,61,600
cam,c,34,32,0.001,cam_crossbert_34_h600_bs32_lr0.001_f5_ep6,5,6,dev,9.880251340866089,0.8211068211068211,0.4748201438848921,0.5,0.4870848708487085,66,73,572,66,600
cam,c,34,32,0.001,,5,,test,7.306593254208565,0.8257668711656442,0.3543307086614173,0.42857142857142855,0.38793103448275856,60,82,628,45,600
cam,c,34,32,0.001,cam_crossbert_34_h600_bs32_lr0.001_f6_ep21,6,21,dev,10.2047538605447,0.8404907975460123,0.38095238095238093,0.38095238095238093,0.38095238095238093,65,65,645,40,600
cam,c,34,32,0.001,,6,,test,10.775209465026855,0.8306148055207027,0.39603960396039606,0.3508771929824561,0.37209302325581395,74,61,622,40,600
cam,c,34,32,0.001,cam_crossbert_34_h600_bs32_lr0.001_f7_ep20,7,20,dev,7.0744663429260255,0.8055207026348808,0.3546099290780142,0.43859649122807015,0.39215686274509803,64,91,592,50,600
cam,c,34,32,0.001,,7,,test,8.639579830169678,0.7645569620253164,0.3288590604026846,0.362962962962963,0.34507042253521125,86,100,555,49,600
