model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp,h
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f1_ep48,1,48,dev,7.835253109931946,0.8622448979591837,0.46218487394957986,0.5555555555555556,0.5045871559633028,44,64,621,55,1200
cam++_base,34,32,0.001,,1,,test,8.05002324104309,0.8379396984924623,0.5083333333333333,0.46564885496183206,0.4860557768924303,70,59,606,61,1200
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f2_ep2,2,2,dev,10.417798137664795,0.8241206030150754,0.46715328467153283,0.48854961832061067,0.4776119402985074,67,73,592,64,1200
cam++_base,34,32,0.001,,2,,test,11.761386924065077,0.7720588235294118,0.4120603015075377,0.543046357615894,0.4685714285714286,69,117,548,82,1200
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f3_ep84,3,84,dev,10.36347704552687,0.7965686274509803,0.4607329842931937,0.5827814569536424,0.5146198830409358,63,103,562,88,1200
cam++_base,34,32,0.001,,3,,test,9.222108325958253,0.8295454545454546,0.45985401459854014,0.5080645161290323,0.4827586206896552,61,74,594,63,1200
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f4_ep101,4,101,dev,13.439617652893066,0.8434343434343434,0.5,0.4596774193548387,0.4789915966386554,67,57,611,57,1200
cam++_base,34,32,0.001,,4,,test,16.469078357219697,0.8262548262548263,0.48623853211009177,0.4015151515151515,0.4398340248962655,79,56,589,53,1200
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f5_ep46,5,46,dev,15.81978418827057,0.8481338481338482,0.5853658536585366,0.36363636363636365,0.4485981308411215,84,34,611,48,1200
cam++_base,34,32,0.001,,5,,test,14.348177643922659,0.8503067484662576,0.4,0.3238095238095238,0.35789473684210527,71,51,659,34,1200
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f6_ep9,6,9,dev,10.105808271811558,0.8220858895705522,0.3484848484848485,0.4380952380952381,0.38818565400843885,59,86,624,46,1200
cam++_base,34,32,0.001,,6,,test,9.274334073066711,0.8343789209535759,0.4274193548387097,0.4649122807017544,0.44537815126050423,61,71,612,53,1200
cam++_base,34,32,0.001,cam++_base_34_h1200_bs32_lr0.001_f7_ep7,7,7,dev,14.438303971290589,0.8531994981179423,0.4810126582278481,0.3333333333333333,0.3937823834196891,76,41,642,38,1200
